sector_id,sector_name,district,proxy_class,proxy_score,proxy_rank,primary_model,probability_low,probability_medium,probability_high,model_predicted_class,model_probability,model_vulnerability_score,model_priority_rank,model_agrees_with_proxy_label,hybrid_model_weight,hybrid_indicator_weight,hybrid_model_contribution,hybrid_indicator_contribution,hybrid_vulnerability_score,hybrid_vulnerability_class,hybrid_priority_rank,hybrid_class_threshold_method,hybrid_class_low_upper_score,hybrid_class_medium_upper_score
RWA.5.1.1_1,Bumbogo,Gasabo,Low,0.2149336613869248,42,random_forest,0.47539885846192487,0.4174864235095527,0.10711471802852221,Low,0.47539885846192487,0.3158579297832985,30,True,0.6,0.4,0.1895147578699791,0.08597346455476992,0.275488222424749,Medium,31,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.4_1,Gisozi,Gasabo,Medium,0.3067380051896409,21,random_forest,0.6115927473783016,0.2678095185453304,0.12059773407636812,Low,0.6115927473783016,0.2545024933490333,38,False,0.6,0.4,0.15270149600941998,0.12269520207585637,0.27539669808527634,Medium,32,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.6_1,Muhima,Nyarugenge,Medium,0.2642044247024577,28,random_forest,0.46793535509648365,0.5277320863161462,0.004332558587369963,Medium,0.5277320863161462,0.2681986017454431,35,True,0.6,0.4,0.16091916104726584,0.10568176988098309,0.26660093092824894,Medium,33,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.2.2_1,Gatenga,Kicukiro,Low,0.2156375855440717,41,random_forest,0.6204280971822017,0.16046671858891293,0.21910518422888528,Low,0.6204280971822017,0.29933854352334177,32,True,0.6,0.4,0.17960312611400506,0.08625503421762869,0.26585816033163373,Low,34,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.2.3_1,Gikondo,Kicukiro,Low,0.2221388923913258,39,random_forest,0.5554281779311576,0.3339490863799247,0.11062273568891756,Low,0.5554281779311576,0.2775972788788799,34,True,0.6,0.4,0.16655836732732796,0.08885555695653033,0.2554139242838583,Low,35,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.2.4_1,Kagarama,Kicukiro,Low,0.1610311820554308,48,random_forest,0.5224819917923856,0.3320466974409674,0.14547131076664693,Low,0.5224819917923856,0.3114946594871306,31,True,0.6,0.4,0.18689679569227838,0.06441247282217231,0.2513092685144507,Low,36,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.8_1,Nyamirambo,Nyarugenge,Low,0.2405879256891908,34,random_forest,0.5527447514603356,0.3789157284867968,0.06833952005286752,Low,0.5527447514603356,0.2577973842962659,37,True,0.6,0.4,0.15467843057775954,0.09623517027567632,0.25091360085343584,Low,37,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,random_forest,0.6292634067044396,0.25956343661682457,0.11117315667873573,Low,0.6292634067044396,0.24095487498714802,39,True,0.6,0.4,0.1445729249922888,0.09276951564953981,0.2373424406418286,Low,38,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.2.7_1,Kigarama,Kicukiro,Medium,0.2555188662962006,30,random_forest,0.7140506979748882,0.1223655940149058,0.16358370801020589,Low,0.7140506979748882,0.2247665050176588,41,False,0.6,0.4,0.13485990301059528,0.10220754651848024,0.23706744952907552,Low,39,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.2.5_1,Kanombe,Kicukiro,Low,0.1703263244411434,47,random_forest,0.48529133032327687,0.4956568779904673,0.019051791686255738,Medium,0.4956568779904673,0.2668802306814894,36,False,0.6,0.4,0.16012813840889364,0.06813052977645737,0.228258668185351,Low,40,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.9_1,Nyarugenge,Nyarugenge,Low,0.1860084281468038,45,random_forest,0.5767533506164254,0.36668478589549125,0.05656186348808325,Low,0.5767533506164254,0.23990425643582888,40,True,0.6,0.4,0.14394255386149732,0.07440337125872153,0.21834592512021883,Low,41,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.7_1,Kacyiru,Gasabo,Low,0.2329120553974533,36,random_forest,0.6959992179769985,0.23594317813982327,0.06805760388317847,Low,0.6959992179769985,0.18602919295309012,44,True,0.6,0.4,0.11161751577185407,0.09316482215898132,0.2047823379308354,Low,42,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
