sector_subunit_id,sector_subunit_index,sentinel__subunit_matched_row_count,sector_id,sector_name,district,proxy_class,proxy_score,proxy_rank,sentinel__elevation__subunit_mean,sentinel__elevation__subunit_std,sentinel__ndvi__subunit_mean,sentinel__ndvi__subunit_std,sentinel__ndbi__subunit_mean,sentinel__ndbi__subunit_std,sentinel__mndwi__subunit_mean,sentinel__mndwi__subunit_std,sentinel__slope__subunit_mean,sentinel__slope__subunit_std
RWA.5.1.12_1__sentinel_subunit_09,9,50,RWA.5.1.12_1,Nduba,Gasabo,Medium,0.3090924464295181,20,1602.2193122925548,54.64155075363943,0.4863465288869609,0.0496122126617619,-0.0311650022665065,0.0525916431615605,-0.5336664639388708,0.0254432279960909,14.900418331828645,6.007576948083702
RWA.5.1.12_1__sentinel_subunit_10,10,50,RWA.5.1.12_1,Nduba,Gasabo,Medium,0.3090924464295181,20,1543.8636187943473,54.18366879933769,0.5116279067847322,0.070968854027822,-0.0623867288941999,0.0630137815826163,-0.5306988303325162,0.0260764461750514,15.776550898755334,5.283547719277075
RWA.5.1.13_1__sentinel_subunit_01,1,9,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1422.289259259259,16.446498961372367,0.4095714317927799,0.0838524907757777,0.0032306876839441,0.0207678868842399,-0.44814458823899,0.0461926757103109,7.218906588068715,1.5553915023321736
RWA.5.1.13_1__sentinel_subunit_02,2,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1434.995138888889,20.09896217224246,0.3551171449054876,0.1322856896337854,0.0071340793513271,0.0759240059824486,-0.4199383420937571,0.0401380505128924,6.885703598260879,0.9696700997766226
RWA.5.1.13_1__sentinel_subunit_03,3,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1439.3730555555555,7.503896195502471,0.325448993135318,0.0745494044932617,0.0411562420085435,0.0313802666730585,-0.4445195821760815,0.0351494218353402,8.758346929053465,1.3324181813910083
RWA.5.1.13_1__sentinel_subunit_04,4,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1453.9133333333334,30.032102471122073,0.298023543404904,0.0595490188194901,0.0376349597435781,0.0338025599046007,-0.4212454469576276,0.0379987258531232,8.835520691639847,1.8032145713799683
RWA.5.1.13_1__sentinel_subunit_05,5,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1445.2152777777778,29.01854128890967,0.3342626742213933,0.0819527189214203,0.0208614205432915,0.0509565834484272,-0.4232993912899346,0.041958088332136,6.82636778589752,1.6565069977011897
RWA.5.1.13_1__sentinel_subunit_06,6,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1444.243888888889,27.4729545635612,0.3456630681933701,0.0706129005700251,0.0273759108306606,0.0473197471310242,-0.4450110128966147,0.0260967290572451,7.739313193609317,1.854056363749236
RWA.5.1.13_1__sentinel_subunit_07,7,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1440.437222222222,36.673939350896504,0.3281988771279177,0.1184840236189489,0.0225589519991851,0.0544504732310156,-0.4252505159763262,0.0448562985818875,6.4971252715339265,1.177969629952452
RWA.5.1.13_1__sentinel_subunit_08,8,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1488.682638888889,19.6678102791655,0.2101359266813078,0.0656241684475249,0.0831643527866309,0.0384637469936812,-0.3948747900953347,0.0328505661186463,7.34504096561008,3.0161108051884513
RWA.5.1.13_1__sentinel_subunit_09,9,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1485.8493055555557,37.60224301884789,0.1459301401092021,0.0246712804981659,0.1103861011629208,0.0246216527463851,-0.3757447970389117,0.0242311887253836,5.814598044852416,1.6178298768448227
RWA.5.1.13_1__sentinel_subunit_10,10,8,RWA.5.1.13_1,Remera,Gasabo,Low,0.2319237891238495,37,1495.6555555555556,21.676470423425407,0.2088670429200655,0.1035981250404668,0.0829020242537218,0.063836498275734,-0.3938602524604437,0.0274893046207326,4.85023642104533,1.6877702554004237
