sector_id,sector_name,district,model_vulnerability_score,proxy_score,scenario,model_weight,indicator_weight,hybrid_score,hybrid_class,hybrid_rank,baseline_60_40_rank,rank_change_from_60_40,in_top_10
RWA.5.1.6_1,Jali,Gasabo,0.5951180838999377,0.3183499249275169,model_emphasis_70_indicator_30,0.7,0.3,0.5120876362082114,High,12,13,1,False
RWA.1.4.1_1,Busogo,Musanze,0.6138109390272574,0.2735898572497749,model_emphasis_70_indicator_30,0.7,0.3,0.5117446144940127,High,13,14,1,False
RWA.1.4.10_1,Musanze,Musanze,0.5798593639043987,0.3472088260571689,model_emphasis_70_indicator_30,0.7,0.3,0.5100642025502298,High,14,12,-2,False
RWA.1.4.8_1,Muhoza,Musanze,0.5544373847628482,0.2429318962460824,model_emphasis_70_indicator_30,0.7,0.3,0.46098573820781846,High,15,20,5,False
RWA.5.1.3_1,Gikomero,Gasabo,0.44040310916416703,0.4908936414447347,model_emphasis_70_indicator_30,0.7,0.3,0.45555026884833727,High,16,15,-1,False
RWA.5.3.7_1,Nyakabanda,Nyarugenge,0.4932004667531836,0.3533179574454252,model_emphasis_70_indicator_30,0.7,0.3,0.45123571396085604,High,17,18,1,False
RWA.5.1.15_1,Rutunga,Gasabo,0.42815861079320255,0.490130162366322,model_emphasis_70_indicator_30,0.7,0.3,0.44675007626513835,Medium,18,16,-2,False
RWA.5.3.2_1,Kanyinya,Nyarugenge,0.4889751276191128,0.3272753144539934,model_emphasis_70_indicator_30,0.7,0.3,0.440465183669577,Medium,19,22,3,False
RWA.5.3.10_1,Rwezamenyo,Nyarugenge,0.45189319388668847,0.401733325963705,model_emphasis_70_indicator_30,0.7,0.3,0.4368452335097934,Medium,20,19,-1,False
RWA.5.3.1_1,Gitega,Nyarugenge,0.39896330804995916,0.5243010335503896,model_emphasis_70_indicator_30,0.7,0.3,0.43656462570008825,Medium,21,17,-4,False
RWA.1.4.2_1,Cyuve,Musanze,0.48730753382336056,0.2903992812044433,model_emphasis_70_indicator_30,0.7,0.3,0.42823505803768536,Medium,22,23,1,False
