sector_id,district,sector_name,proxy_class,proxy_score,scenario,scenario_score,scenario_class,class_changed_from_base
RWA.5.2.10_1,Kicukiro,Nyarugunga,Low,0.17154236095089792,density_heavy,0.1512826103525557,Low,False
RWA.5.2.5_1,Kicukiro,Kanombe,Low,0.17032632444114337,density_heavy,0.14945855558792387,Low,False
RWA.5.2.4_1,Kicukiro,Kagarama,Low,0.16103118205543046,density_heavy,0.13551584200935451,Low,False
RWA.5.2.8_1,Kicukiro,Masaka,Low,0.15797120877606674,density_heavy,0.1151109737286295,Low,False
RWA.5.2.1_1,Kicukiro,Gahanga,Low,0.1503736702268055,density_heavy,0.11952957426641708,Low,False
RWA.5.3.1_1,Nyarugenge,Gitega,High,0.5243010335503896,rurality_heavy,0.32458062013023375,Medium,True
RWA.1.4.13_1,Musanze,Remera,High,0.5231253843006046,rurality_heavy,0.7040221706797085,High,False
RWA.1.4.4_1,Musanze,Gashaki,High,0.5175642990632866,rurality_heavy,0.7005464924063847,High,False
RWA.1.4.14_1,Musanze,Rwaza,High,0.5095302654508534,rurality_heavy,0.679348480481659,High,False
RWA.5.1.3_1,Gasabo,Gikomero,High,0.49089364144473474,rurality_heavy,0.6845786100167465,High,False
RWA.5.1.15_1,Gasabo,Rutunga,High,0.490130162366322,rurality_heavy,0.6841014355927385,High,False
RWA.1.4.3_1,Musanze,Gacaca,High,0.46298713868403363,rurality_heavy,0.5983868804868424,High,False
RWA.1.4.15_1,Musanze,Shingiro,High,0.46257050938064925,rurality_heavy,0.6061646563913374,High,False
RWA.1.4.7_1,Musanze,Kinigi,High,0.44145436298151364,rurality_heavy,0.5704170956041852,High,False
RWA.5.3.4_1,Nyarugenge,Kimisagara,High,0.44058043535413965,rurality_heavy,0.2722552462575776,Medium,True
RWA.5.3.10_1,Nyarugenge,Rwezamenyo,High,0.401733325963714,rurality_heavy,0.24797580288856153,Medium,True
RWA.1.4.11_1,Musanze,Nkotsi,High,0.3880988555860776,rurality_heavy,0.4737363744281835,High,False
RWA.1.4.5_1,Musanze,Gataraga,High,0.38367546902305666,rurality_heavy,0.469693571775023,High,False
RWA.1.4.9_1,Musanze,Muko,High,0.38185685311084544,rurality_heavy,0.45040866967734494,High,False
RWA.1.4.12_1,Musanze,Nyange,High,0.362824706885707,rurality_heavy,0.43360418398402056,High,False
RWA.5.3.7_1,Nyarugenge,Nyakabanda,High,0.35331795744542316,rurality_heavy,0.21771619756462973,Medium,True
RWA.1.4.10_1,Musanze,Musanze,High,0.34720882605716896,rurality_heavy,0.3878142369074857,High,False
RWA.5.3.2_1,Nyarugenge,Kanyinya,Medium,0.3272753144539934,rurality_heavy,0.4052865208126294,High,True
RWA.5.1.6_1,Gasabo,Jali,Medium,0.3183499249275169,rurality_heavy,0.3771466864062368,High,True
RWA.5.1.12_1,Gasabo,Nduba,Medium,0.3090924464295183,rurality_heavy,0.3535550020016387,High,True
RWA.5.1.4_1,Gasabo,Gisozi,Medium,0.30673800518964073,rurality_heavy,0.18823133735731273,Medium,False
RWA.1.4.2_1,Musanze,Cyuve,Medium,0.29039928120444325,rurality_heavy,0.2814678681376904,Medium,False
RWA.5.1.5_1,Gasabo,Jabana,Medium,0.2882546292574699,rurality_heavy,0.3114498069305694,Medium,False
RWA.5.3.5_1,Nyarugenge,Mageregere,Medium,0.2800841808447797,rurality_heavy,0.3283898668434362,High,True
RWA.5.1.2_1,Gasabo,Gatsata,Medium,0.2784616817960349,rurality_heavy,0.1705586352363091,Medium,False
RWA.5.1.14_1,Gasabo,Rusororo,Medium,0.27684790573346,rurality_heavy,0.3045088353028854,Medium,False
RWA.1.4.1_1,Musanze,Busogo,Medium,0.27358985724977486,rurality_heavy,0.2628668552483149,Medium,False
RWA.5.3.6_1,Nyarugenge,Muhima,Medium,0.26420442470245686,rurality_heavy,0.16202023960027578,Medium,False
RWA.1.4.6_1,Musanze,Kimonyi,Medium,0.2588449918700046,rurality_heavy,0.24592397443968725,Medium,False
RWA.5.2.7_1,Kicukiro,Kigarama,Medium,0.2555188662961997,rurality_heavy,0.15675398779418614,Low,True
RWA.5.3.3_1,Nyarugenge,Kigali,Medium,0.2544570041276886,rurality_heavy,0.2632625705941978,Medium,False
RWA.1.4.8_1,Musanze,Muhoza,Medium,0.24293189624608252,rurality_heavy,0.1697419942912638,Medium,False
RWA.5.2.6_1,Kicukiro,Kicukiro,Medium,0.24175200705793115,rurality_heavy,0.14814970077026832,Low,True
RWA.5.3.8_1,Nyarugenge,Nyamirambo,Low,0.24058792568919135,rurality_heavy,0.14725992771698485,Low,False
RWA.5.1.9_1,Gasabo,Kimironko,Low,0.23562464041018544,rurality_heavy,0.14378548437015318,Low,False
RWA.5.1.7_1,Gasabo,Kacyiru,Low,0.23291205539745338,rurality_heavy,0.14209011873719563,Low,False
