sector_subunit_id,sector_subunit_index,sector_subunit_count_requested,sentinel__subunit_assignment_method,sentinel__subunit_matched_row_count,sector_id,sector_name,district,sector_name_key,district_key,sector_area_km2,sentinel__elevation__subunit_count,sentinel__elevation__subunit_mean,sentinel__elevation__subunit_median,sentinel__elevation__subunit_min,sentinel__elevation__subunit_max,sentinel__elevation__subunit_std,sentinel__latitude__subunit_count,sentinel__latitude__subunit_mean,sentinel__latitude__subunit_median,sentinel__latitude__subunit_min,sentinel__latitude__subunit_max,sentinel__latitude__subunit_std,sentinel__longitude__subunit_count,sentinel__longitude__subunit_mean,sentinel__longitude__subunit_median,sentinel__longitude__subunit_min,sentinel__longitude__subunit_max,sentinel__longitude__subunit_std,sentinel__mndwi__subunit_count,sentinel__mndwi__subunit_mean,sentinel__mndwi__subunit_median,sentinel__mndwi__subunit_min,sentinel__mndwi__subunit_max,sentinel__mndwi__subunit_std,sentinel__ndbi__subunit_count,sentinel__ndbi__subunit_mean,sentinel__ndbi__subunit_median,sentinel__ndbi__subunit_min,sentinel__ndbi__subunit_max,sentinel__ndbi__subunit_std,sentinel__ndvi__subunit_count,sentinel__ndvi__subunit_mean,sentinel__ndvi__subunit_median,sentinel__ndvi__subunit_min,sentinel__ndvi__subunit_max,sentinel__ndvi__subunit_std,sentinel__slope__subunit_count,sentinel__slope__subunit_mean,sentinel__slope__subunit_median,sentinel__slope__subunit_min,sentinel__slope__subunit_max,sentinel__slope__subunit_std
RWA.1.4.14_1__sentinel_subunit_02,2,10,spatial_coordinate_order,31,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,31.0,1689.4125089605734,1699.3455555555556,1566.398888888889,1815.0,63.04494491437517,31.0,-1.560677916736116,-1.5563312297189011,-1.5967554177265804,-1.5320767173155485,0.01939209605513439,31.0,29.65366281896075,29.65383668644861,29.65114174051968,29.65653163223567,0.0015458568779900274,31.0,-0.5302321362216629,-0.5342381070553703,-0.5962740850530653,-0.385684863453632,0.03819816471396705,31.0,-0.17871700122385056,-0.1806153606158401,-0.2701543848208261,0.0217677298606301,0.055120601470495086,31.0,0.642548268904343,0.642664172586959,0.4727733442178479,0.7483745019207169,0.05369532053022594,0.0,,,,,
RWA.1.4.14_1__sentinel_subunit_03,3,10,spatial_coordinate_order,30,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,30.0,1749.9217407407407,1781.2866666666669,1615.24,1840.5633333333333,75.73567224427552,30.0,-1.5587566811245765,-1.553636283926702,-1.5913655260383632,-1.5293817711264874,0.02034454860706287,30.0,29.657340116027584,29.656531632292122,29.65653163224015,29.65922657813648,0.0012560916110940918,30.0,-0.5313357565906487,-0.5349129124341877,-0.5682103476818176,-0.4854738179146464,0.017966330489210088,30.0,-0.16617528290633446,-0.15982598925800418,-0.2470529392170794,-0.1181847735848136,0.03729831973991196,30.0,0.6229932507018215,0.6158894419208993,0.5383770588749873,0.719293728188294,0.04554039524431748,0.0,,,,,
RWA.1.4.14_1__sentinel_subunit_04,4,10,spatial_coordinate_order,31,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,31.0,1770.5332258064516,1784.5466666666666,1657.911111111111,1860.2788888888888,56.45705084387645,31.0,-1.5651115373348394,-1.567111013461847,-1.5940604717942393,-1.529381771077938,0.018553650136917853,31.0,29.660530584224997,29.659226578214376,29.659226578137663,29.661921524036604,0.0013690338591035918,31.0,-0.5411725782252433,-0.541105471620121,-0.5805433019928387,-0.498888591133503,0.020820358044242718,31.0,-0.1351993027150752,-0.1300986784281163,-0.2165570697027572,-0.0910430216528234,0.028766278057105424,31.0,0.5933127312999543,0.5930396073006414,0.5332160664670119,0.6745159393954213,0.036652279808192016,0.0,,,,,
RWA.1.4.14_1__sentinel_subunit_05,5,10,spatial_coordinate_order,30,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,30.0,1758.3043703703704,1761.911111111111,1648.0566666666666,1846.5088888888888,45.0948884906117,30.0,-1.5618109530990516,-1.5603736486579955,-1.5940604717539293,-1.5293817711253073,0.018744537141628815,30.0,29.663718154527988,29.664616469741407,29.66192152403785,29.664616469812604,0.0012921275609987961,30.0,-0.5260069264277147,-0.5245332082978937,-0.5670925190667863,-0.4948110530703731,0.01981064731790035,30.0,-0.11933870532548305,-0.12011579844693229,-0.234096372919829,-0.060916289242686,0.03729351058864289,30.0,0.5642025455222435,0.5686553482121671,0.4941395259058453,0.6783069848329901,0.04578201740717774,0.0,,,,,
RWA.1.4.14_1__sentinel_subunit_06,6,10,spatial_coordinate_order,31,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,31.0,1752.206487455197,1749.252222222222,1644.8922222222222,1841.9233333333336,54.1834936864891,31.0,-1.5605040492569073,-1.5590261757707573,-1.596755417749088,-1.529381771133824,0.021343321348821106,31.0,29.66687674697756,29.667311415657192,29.664616469816757,29.66731141572313,0.0010075816361979385,31.0,-0.5296460471669892,-0.5313461328426156,-0.5847062429027805,-0.4889789532555808,0.023758358164894595,31.0,-0.08505360235843742,-0.0847717076541543,-0.1582636056984077,-0.0090164985896978,0.03515824974596706,31.0,0.5326850973061643,0.5254798586820573,0.4371755963093319,0.6433717528217263,0.04579582826603622,0.0,,,,,
RWA.1.4.14_1__sentinel_subunit_07,7,10,spatial_coordinate_order,31,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,31.0,1740.0378494623656,1732.0166666666669,1653.4911111111112,1858.5288888888888,64.4762071405994,31.0,-1.5589392419983166,-1.5563312297263616,-1.591365526017647,-1.5320767172951186,0.016605238900792907,31.0,29.670875698946265,29.67000636158552,29.670006361483388,29.6727013074858,0.0012806139410592367,31.0,-0.5301651389498242,-0.5238474655908312,-0.5663778403057073,-0.5006746630197771,0.017664258355007092,31.0,-0.07958418280693699,-0.084506285849726,-0.1198178655380506,-0.0115171749999415,0.027058330535644996,31.0,0.5289716406509146,0.5337266617768389,0.4443878427273218,0.5988940223734985,0.03953474332301289,0.0,,,,,
RWA.1.4.14_1__sentinel_subunit_08,8,10,spatial_coordinate_order,30,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,30.0,1740.2638148148149,1724.878888888889,1652.11,1861.6866666666667,63.166962420873645,30.0,-1.5565108929487772,-1.5576787027885508,-1.5913655260162929,-1.5374666089126812,0.012539631042805408,30.0,29.675575916301195,29.67539625318201,29.672701307486147,29.678091199126985,0.0019933973950126125,30.0,-0.5185484841171423,-0.51892842103539,-0.5594519629278228,-0.4621716519720014,0.02439966733807956,30.0,-0.0849340568251289,-0.08635412061908795,-0.1752596639055623,-0.0130735129259271,0.0369137682550989,30.0,0.5168603455613814,0.5168390656317396,0.4587022523066985,0.5882634990262702,0.037256155062350284,0.0,,,,,
RWA.1.4.14_1__sentinel_subunit_09,9,10,spatial_coordinate_order,31,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,31.0,1764.1702150537633,1742.8055555555557,1659.7922222222223,1908.0377777777776,70.07756633539222,31.0,-1.5499850670591413,-1.5482463922948986,-1.5725009050057428,-1.5374666089637348,0.008219905479662046,31.0,29.68287255464746,29.68348109080706,29.67809119913337,29.688870982435127,0.00324213500103624,31.0,-0.5086384512993676,-0.5103570659342097,-0.5545388811829434,-0.4661749166222283,0.01988837280403464,31.0,-0.11786500224910994,-0.1249473088625711,-0.2028626697082675,0.0013273803056469,0.05130730059457428,31.0,0.5388881203182811,0.5437617822685017,0.4457649787238462,0.6197485284714639,0.0414556973965253,0.0,,,,,
RWA.1.4.14_1__sentinel_subunit_10,10,10,spatial_coordinate_order,30,RWA.1.4.14_1,Rwaza,Musanze,rwaza,musanze,27.56275982151848,30.0,1769.4419629629629,1762.1961111111111,1704.84,1853.282222222222,42.98528320899041,30.0,-1.5495040337325001,-1.550941338119045,-1.5590261758666732,-1.5374666088735691,0.006851932465889035,30.0,29.69273373823711,29.69156592836851,29.68887098245922,29.69695582007393,0.002890729524401464,30.0,-0.5222031422669642,-0.5207238356146048,-0.5907131204354011,-0.4718654533265961,0.02936031754457955,30.0,-0.10297503252123469,-0.10153703115286719,-0.1849915899334928,-0.0255210734603749,0.03677354096512063,30.0,0.5395643634333248,0.5324795695337818,0.4738949112310219,0.64419662022279,0.0396258707087201,0.0,,,,,
RWA.1.4.15_1__sentinel_subunit_01,1,10,spatial_coordinate_order,43,RWA.1.4.15_1,Shingiro,Musanze,shingiro,musanze,49.888491268508844,42.0,3205.713937913565,3216.4622222222224,3013.817777777778,3395.543571779462,113.72246499267217,43.0,-1.4960396505716433,-1.4970424211000617,-1.5105171501404384,-1.4781777999231245,0.009409793738216347,43.0,29.494834881127517,29.494834881102488,29.489444989393064,29.500224772891727,0.002998658915518136,42.0,-0.5978213623740003,-0.5947537720090225,-0.6296317813378133,-0.5686433841674279,0.016686108451052097,42.0,-0.2905901757600824,-0.2970030514437966,-0.3532119900374982,-0.1957667866494235,0.041908098844618,42.0,0.8530441258740604,0.861484326995976,0.7673749898142166,0.8850404705143163,0.026990228249215424,0.0,,,,,
